path,text,duration,source_id
..\processed_data\train\blocks_T2027219__T2027219\blocks_T2027219__T2027219_SS91.8.wav,count them,2.01,blocks_T2027219__T2027219
..\processed_data\train\blocks_T2027219__T2027219\blocks_T2027219__T2027219_SS120.1.wav,because you can have the number in your head. and if there's no more cubes then it's the number that you have,16.31,blocks_T2027219__T2027219
..\processed_data\train\blocks_T2027219__T2027219\blocks_T2027219__T2027219_SS141.0.wav,no,0.87,blocks_T2027219__T2027219
..\processed_data\train\blocks_T2027220__T2027220\blocks_T2027220__T2027220_SS17.7.wav,one,2.04,blocks_T2027220__T2027220
..\processed_data\train\blocks_T2027220__T2027220\blocks_T2027220__T2027220_SS20.7.wav,two,1.71,blocks_T2027220__T2027220
..\processed_data\train\blocks_T2027220__T2027220\blocks_T2027220__T2027220_SS23.1.wav,three,2.26,blocks_T2027220__T2027220
..\processed_data\train\blocks_T2027220__T2027220\blocks_T2027220__T2027220_SS26.8.wav,four,1.86,blocks_T2027220__T2027220
..\processed_data\train\blocks_T2027220__T2027220\blocks_T2027220__T2027220_SS30.7.wav,five,1.20,blocks_T2027220__T2027220
..\processed_data\train\blocks_T2027220__T2027220\blocks_T2027220__T2027220_SS33.5.wav,one,1.59,blocks_T2027220__T2027220
..\processed_data\train\blocks_T2027220__T2027220\blocks_T2027220__T2027220_SS36.9.wav,two,1.80,blocks_T2027220__T2027220
..\processed_data\train\blocks_T2027220__T2027220\blocks_T2027220__T2027220_SS41.0.wav,three,2.45,blocks_T2027220__T2027220
..\processed_data\train\blocks_T2027220__T2027220\blocks_T2027220__T2027220_SS52.6.wav,four,1.84,blocks_T2027220__T2027220
..\processed_data\train\blocks_T2027220__T2027220\blocks_T2027220__T2027220_SS56.0.wav,five,2.22,blocks_T2027220__T2027220
..\processed_data\train\blocks_T2027220__T2027220\blocks_T2027220__T2027220_SS59.6.wav,six,1.75,blocks_T2027220__T2027220
..\processed_data\train\blocks_T2027220__T2027220\blocks_T2027220__T2027220_SS62.3.wav,onetwothreefourfivesix,3.34,blocks_T2027220__T2027220
..\processed_data\train\blocks_T2027220__T2027220\blocks_T2027220__T2027220_SS73.9.wav,two,4.51,blocks_T2027220__T2027220
..\processed_data\train\blocks_T2027220__T2027220\blocks_T2027220__T2027220_SS83.2.wav,no,2.16,blocks_T2027220__T2027220
..\processed_data\train\blocks_T2027220__T2027220\blocks_T2027220__T2027220_SS94.1.wav,how many what,1.77,blocks_T2027220__T2027220
..\processed_data\train\blocks_T2027220__T2027220\blocks_T2027220__T2027220_SS100.9.wav,for you can learn your numbers,5.81,blocks_T2027220__T2027220
..\processed_data\train\blocks_T2027220__T2027220\blocks_T2027220__T2027220_SS130.7.wav,okay,1.37,blocks_T2027220__T2027220
..\processed_data\train\blocks_T2027220__T2027220\blocks_T2027220__T2027220_SS136.3.wav,six,1.54,blocks_T2027220__T2027220
..\processed_data\train\blocks_T2027220__T2027220\blocks_T2027220__T2027220_SS141.1.wav,no,2.63,blocks_T2027220__T2027220
..\processed_data\train\blocks_T2027220__T2027220\blocks_T2027220__T2027220_SS152.5.wav,because it makes to your you can learn your number,9.12,blocks_T2027220__T2027220
..\processed_data\train\blocks_T2027220__T2027220\blocks_T2027220__T2027220_SS164.2.wav,no,1.28,blocks_T2027220__T2027220
..\processed_data\train\blocks_T2027223__T2027223\blocks_T2027223__T2027223_SS16.7.wav,okay,0.72,blocks_T2027223__T2027223
..\processed_data\train\blocks_T2027223__T2027223\blocks_T2027223__T2027223_SS20.7.wav,okay. there is six,6.73,blocks_T2027223__T2027223
..\processed_data\train\blocks_T2027223__T2027223\blocks_T2027223__T2027223_SS40.0.wav,i just knew it,1.80,blocks_T2027223__T2027223
..\processed_data\train\blocks_T2027223__T2027223\blocks_T2027223__T2027223_SS56.5.wav,by counting,1.19,blocks_T2027223__T2027223
..\processed_data\train\blocks_T2027223__T2027223\blocks_T2027223__T2027223_SS88.3.wav,there is six,1.21,blocks_T2027223__T2027223
..\processed_data\train\blocks_T2027223__T2027223\blocks_T2027223__T2027223_SS98.9.wav,from counting them,2.28,blocks_T2027223__T2027223
..\processed_data\train\blocks_T2027223__T2027223\blocks_T2027223__T2027223_SS118.5.wav,what,1.32,blocks_T2027223__T2027223
..\processed_data\train\blocks_T2027223__T2027223\blocks_T2027223__T2027223_SS133.7.wav,umm why,5.49,blocks_T2027223__T2027223
..\processed_data\train\blocks_T2027223__T2027223\blocks_T2027223__T2027223_SS145.6.wav,do you know what three plus three,2.14,blocks_T2027223__T2027223
..\processed_data\train\blocks_T2027223__T2027223\blocks_T2027223__T2027223_SS159.3.wav,fastish,1.53,blocks_T2027223__T2027223
..\processed_data\train\blocks_T2027240__T2027240\blocks_T2027240__T2027240_SS21.5.wav,six,0.59,blocks_T2027240__T2027240
..\processed_data\train\blocks_T2027240__T2027240\blocks_T2027240__T2027240_SS39.9.wav,four five six seven,2.29,blocks_T2027240__T2027240
..\processed_data\train\blocks_T2027240__T2027240\blocks_T2027240__T2027240_SS58.3.wav,just calculate in my head,2.30,blocks_T2027240__T2027240
..\processed_data\train\blocks_T2027240__T2027240\blocks_T2027240__T2027240_SS80.1.wav,just i'm used to it,1.86,blocks_T2027240__T2027240
..\processed_data\train\blocks_T2027240__T2027240\blocks_T2027240__T2027240_SS87.8.wav,no,0.83,blocks_T2027240__T2027240
..\processed_data\train\blocks_T2027240__T2027240\blocks_T2027240__T2027240_SS89.7.wav,stay quiet,1.42,blocks_T2027240__T2027240
..\processed_data\train\blocks_T2027240__T2027240\blocks_T2027240__T2027240_SS92.7.wav,it just let anything you know that i count six of them,4.26,blocks_T2027240__T2027240
..\processed_data\train\blocks_T2027240__T2027240\blocks_T2027240__T2027240_SS130.0.wav,okay,1.53,blocks_T2027240__T2027240
..\processed_data\train\blocks_T2027240__T2027240\blocks_T2027240__T2027240_SS182.4.wav,one to eight,1.22,blocks_T2027240__T2027240
..\processed_data\train\blocks_T2027243__T2027243\blocks_T2027243__T2027243_SS17.8.wav,six,1.18,blocks_T2027243__T2027243
..\processed_data\train\blocks_T2027243__T2027243\blocks_T2027243__T2027243_SS36.9.wav,four,1.44,blocks_T2027243__T2027243
..\processed_data\train\blocks_T2027243__T2027243\blocks_T2027243__T2027243_SS45.6.wav,four,0.80,blocks_T2027243__T2027243
..\processed_data\train\blocks_T2027243__T2027243\blocks_T2027243__T2027243_SS47.2.wav,yeah,0.68,blocks_T2027243__T2027243
..\processed_data\train\blocks_T2027243__T2027243\blocks_T2027243__T2027243_SS67.4.wav,because if i mix them together before i know,6.71,blocks_T2027243__T2027243
..\processed_data\train\blocks_T2027243__T2027243\blocks_T2027243__T2027243_SS77.8.wav,no,0.65,blocks_T2027243__T2027243
..\processed_data\train\blocks_T2027243__T2027243\blocks_T2027243__T2027243_SS93.8.wav,okay,0.68,blocks_T2027243__T2027243
..\processed_data\train\blocks_T2027243__T2027243\blocks_T2027243__T2027243_SS107.5.wav,you count them. because you'll figure out how many there are,9.86,blocks_T2027243__T2027243
..\processed_data\train\blocks_T2027243__T2027243\blocks_T2027243__T2027243_SS132.6.wav,i don't know,2.09,blocks_T2027243__T2027243
..\processed_data\train\blocks_T2027243__T2027243\blocks_T2027243__T2027243_SS138.3.wav,yeah,0.59,blocks_T2027243__T2027243
..\processed_data\train\blocks_T2027252__T2027252\blocks_T2027252__T2027252_SS38.6.wav,six,2.95,blocks_T2027252__T2027252
..\processed_data\train\blocks_T2027252__T2027252\blocks_T2027252__T2027252_SS66.0.wav,counted them,3.08,blocks_T2027252__T2027252
..\processed_data\train\blocks_T2027252__T2027252\blocks_T2027252__T2027252_SS77.7.wav,because the other ways are kind of slower,9.64,blocks_T2027252__T2027252
..\processed_data\train\blocks_T2027252__T2027252\blocks_T2027252__T2027252_SS106.6.wav,umm do you know how to do it no i don't. i could help you. you count up with like,10.46,blocks_T2027252__T2027252
..\processed_data\train\blocks_T2027252__T2027252\blocks_T2027252__T2027252_SS117.1.wav,one,0.96,blocks_T2027252__T2027252
..\processed_data\train\blocks_T2027252__T2027252\blocks_T2027252__T2027252_SS118.2.wav,two,0.63,blocks_T2027252__T2027252
..\processed_data\train\blocks_T2027252__T2027252\blocks_T2027252__T2027252_SS118.9.wav,three,0.79,blocks_T2027252__T2027252
..\processed_data\train\blocks_T2027252__T2027252\blocks_T2027252__T2027252_SS119.8.wav,four,0.65,blocks_T2027252__T2027252
..\processed_data\train\blocks_T2027252__T2027252\blocks_T2027252__T2027252_SS120.5.wav,five done,1.35,blocks_T2027252__T2027252
..\processed_data\train\blocks_T2027252__T2027252\blocks_T2027252__T2027252_SS135.7.wav,this way helps because the other ways are slower and sometimes you could use these ways. that's it,18.01,blocks_T2027252__T2027252
..\processed_data\train\blocks_T2027257__T2027257\blocks_T2027257__T2027257_SS17.5.wav,one two,1.72,blocks_T2027257__T2027257
..\processed_data\train\blocks_T2027257__T2027257\blocks_T2027257__T2027257_SS19.5.wav,three,0.99,blocks_T2027257__T2027257
..\processed_data\train\blocks_T2027257__T2027257\blocks_T2027257__T2027257_SS20.8.wav,fourfivesix,1.88,blocks_T2027257__T2027257
..\processed_data\train\blocks_T2027257__T2027257\blocks_T2027257__T2027257_SS33.8.wav,i count them,1.38,blocks_T2027257__T2027257
..\processed_data\train\blocks_T2027257__T2027257\blocks_T2027257__T2027257_SS36.2.wav,i count them one,1.97,blocks_T2027257__T2027257
..\processed_data\train\blocks_T2027257__T2027257\blocks_T2027257__T2027257_SS48.5.wav,because i can do different ways but i choose to do that way. the way i know best,11.58,blocks_T2027257__T2027257
..\processed_data\train\blocks_T2027257__T2027257\blocks_T2027257__T2027257_SS63.6.wav,no,0.49,blocks_T2027257__T2027257
..\processed_data\train\blocks_T2027257__T2027257\blocks_T2027257__T2027257_SS76.7.wav,you can start first. start one plus one then you know more. two plus two three plus three and then four plus four five plus five and then you go bigger. you know how to do one numbers and then there's no other hundred plus a hundred. and then you keep on learning,25.52,blocks_T2027257__T2027257
..\processed_data\train\blocks_T2027257__T2027257\blocks_T2027257__T2027257_SS113.7.wav,you can do different ways but i like doing it this way best because it's a really easy way. if you do it the hard ways you're really no you know you get already way too easy so that's why i go the easy and a hard. so you know more better,27.85,blocks_T2027257__T2027257
..\processed_data\train\blocks_T2027260__T2027260\blocks_T2027260__T2027260_SS16.9.wav,okay. can i just bent them like towering and then count this how i count. like i kept them up. and then like one two three four six,36.63,blocks_T2027260__T2027260
..\processed_data\train\blocks_T2027260__T2027260\blocks_T2027260__T2027260_SS68.3.wav,i stack them up. i stack them up and then tower and then i kept them up. that's it,21.08,blocks_T2027260__T2027260
..\processed_data\train\blocks_T2027260__T2027260\blocks_T2027260__T2027260_SS92.2.wav,no that's just how i did it,1.81,blocks_T2027260__T2027260
..\processed_data\train\blocks_T2027260__T2027260\blocks_T2027260__T2027260_SS102.7.wav,counting is more better than stacking them up,2.89,blocks_T2027260__T2027260
..\processed_data\train\blocks_T2027260__T2027260\blocks_T2027260__T2027260_SS107.4.wav,counting is more better than stacking them up that's my question,3.28,blocks_T2027260__T2027260
..\processed_data\train\blocks_T2027260__T2027260\blocks_T2027260__T2027260_SS114.3.wav,no,1.01,blocks_T2027260__T2027260
..\processed_data\train\blocks_T2027260__T2027260\blocks_T2027260__T2027260_SS140.4.wav,that's me. you know can you be my classmates,3.49,blocks_T2027260__T2027260
..\processed_data\train\blocks_T2027260__T2027260\blocks_T2027260__T2027260_SS155.1.wav,you would basically stack them up into a tower until all the cubes are finished. and then and you would basically count how many you can count. and then when you're finished you should put them,20.31,blocks_T2027260__T2027260
..\processed_data\train\blocks_T2027260__T2027260\blocks_T2027260__T2027260_SS177.7.wav,no. that's how i'll teach my friend counting,0.91,blocks_T2027260__T2027260
..\processed_data\train\blocks_T2027260__T2027260\blocks_T2027260__T2027260_SS189.8.wav,because you can see the lines that go up or down. and then you can count from up or down,9.24,blocks_T2027260__T2027260
..\processed_data\train\blocks_T2027260__T2027260\blocks_T2027260__T2027260_SS201.9.wav,and it's important to count because if you guys said do the count in two minutes and then like you don't know when it's two minutes and then like i,12.57,blocks_T2027260__T2027260
..\processed_data\train\blocks_T2027261__T2027261\blocks_T2027261__T2027261_SS21.7.wav,six,1.25,blocks_T2027261__T2027261
..\processed_data\train\blocks_T2027261__T2027261\blocks_T2027261__T2027261_SS40.8.wav,i found three and three,4.21,blocks_T2027261__T2027261
..\processed_data\train\blocks_T2027261__T2027261\blocks_T2027261__T2027261_SS47.9.wav,no,0.99,blocks_T2027261__T2027261
..\processed_data\train\blocks_T2027261__T2027261\blocks_T2027261__T2027261_SS53.3.wav,because three and three is six,4.00,blocks_T2027261__T2027261
..\processed_data\train\blocks_T2027261__T2027261\blocks_T2027261__T2027261_SS60.0.wav,no,1.09,blocks_T2027261__T2027261
..\processed_data\train\blocks_T2027261__T2027261\blocks_T2027261__T2027261_SS90.6.wav,i don't know,1.58,blocks_T2027261__T2027261
..\processed_data\train\blocks_T2027261__T2027261\blocks_T2027261__T2027261_SS100.7.wav,find three and three,2.46,blocks_T2027261__T2027261
..\processed_data\train\blocks_T2027261__T2027261\blocks_T2027261__T2027261_SS106.9.wav,no,1.00,blocks_T2027261__T2027261
..\processed_data\train\blocks_T2027261__T2027261\blocks_T2027261__T2027261_SS113.7.wav,because three and three is six,2.89,blocks_T2027261__T2027261
